file,clean_message
shackleton-s/sent/1912.,"message-id: date: tue, 29 aug 2000 01:26:00 -0700 (pdt) re: credit derivatives mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x- re: credit derivatives sara, please contact either paul radous or me on credit derivatives in the u.s. rod nelson is the lead credit support for enroncredit.com and should also be available in london, if necessary. i am not aware of these recent trades but i am having lunch with jeff kinneman on thursday to discuss among other things credit support for his business. it does concern me that we would offer to provide collateral dlj without treasury's approval. bill credit derivatives i am seeing more and more credit derivatives. the trades originating in houston are coming from jeff kinneman's bond/debt traders but are booked in the name of ect investments, inc. or ena. i can't be certain if these are backed to enroncredit.com limited. in particular, there is a proposed total return bond trade with dlj international capital requiring ect investments to post collateral. we have no master with this party. who in houston credit is looking at credit derivatives? fyi, other credit deals seem to be transacted wtih deutsche bank and ubs ag."
farmer-d/logistics/1066.,"message-id: date: mon, 24 apr 2000 05:43:00 -0700 (pdt) meter #1591 lamay gaslift cc: mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit bcc: x-from: pat clynes x-to: aimee lannou x-cc: daren j farmer x-bcc: x-folder: \darren_farmer_dec2000\notes folders\logistics x-origin: farmer-d x-filename: dfarmer.nsf aimee, please check meter #1591 lamay gas lift. it doesn't appear to have very much flow and the bav is showing the nom volume. this could be adversely affecting the risk numbers. pat"
parks-j/deleted_items/202.,"message-id: date: thu, 2 may 2002 04:54:27 -0700 (pdt) re: man night again? mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x- re: man night again? nothin'. -----original message----- re: man night again? what are you guys talking about? -----original message----- re: man night again? screw it, i'm going to tony's. -----original message----- re: man night again? what ----- original message ----- re: man night again? i feel like erik. no one will answer my question. -----original message----- re: man night again? sh""in"" - dig.......get it? aaaaaaaaaaaaaaaahhhhhhhhhhhhhaaaaaaaaaaaaahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhaaaaaaaaaaaaaaaaaaaahhhhhhhhhhhh ----- original message ----- re: man night again? where is this shin-dig? -----original message----- re: man night again? in. ----- original message ----- re: man night again? i am in!!! would like to be there by 6:30 or so...maybe later. zander is ""out""...unless he brings jake. someone forward to chambers...you know he's in. bc -----original message----- man night again? zero response from my last effort on this matter. are your emails working men? zander called and suggested we attend the cca crawfish boil function to be held thurday may 2, 2002. reasonably priced event, beer, mud bugs and we can sit back and watch pig win raffle prizes. i'm in e. _________________________________________________________________ send and receive hotmail on your mobile device: ************************************************************************ this e-mail is the property of bridgeline holdings, l.p. and/or its relevant affiliate(s) and may contain confidential and privileged material for the sole use of the intended recipient(s). any review, use, distribution or disclosure by others is strictly prohibited. if you are not the intended recipient (or authorized to receive for the recipient), please contact the sender and delete all copies of the message. this e-mail (and any attachments hereto) are not intended to be an offer (or an acceptance) and do not create or evidence a binding and enforceable contract between bridgeline holdings, l.p. (or any of its affiliates) and the intended recipient or any other party, and may not be relied on by anyone as the basis of a contract by estoppel or otherwise. thank you. ************************************************************************"
stokley-c/chris_stokley/iso/client_rep/41.,"message-id: date: wed, 8 aug 2001 14:35:08 -0700 (pdt) enron 480, 1480 charges mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: almeida, keoni x-to: stokley, chris </o=enron/ou=na/cn=recipients/cn=mstokle> x-cc: x-bcc: x-folder: \stokley, chris (non-privileged)\chris stokley\iso\client rep x-origin: stokley-c x-filename: stokley, chris (non-privileged).pst <<keoni.zip>> chris, per your request here are the 480 and 1480 charges that have been tracked to date for enron. please keep in mind that the systems have not been built to incorporate this data into our settlements process so the normal validations built into our settlements process are not applied to the manual tracking of these charges. therefore, this data should not be considered settlement quality. if these charges ever to become effective the proper systems will be built to pull in this data into the settlement process. i checked with some folks and found out that ferc should rule on this during september. take care. keoni almeida california independent system operator phone: 916/608-7053 pager: 916/814-7352 alpha page: e-mail:"
germany-c/all_documents/1174.,"message-id: date: wed, 21 jun 2000 04:58:00 -0700 (pdt) transport deal mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: chris germany x-to: thomas engel x-cc: x-bcc: x-folder: \chris_germany_dec2000\notes folders\all documents x-origin: germany-c x-filename: cgerman.nsf i'm trying to change the receipt meter on deal 235367 from meter 7126 to meter 010902. i'm not trying to change the receipt interconnect point, i'm trying to change the receipt point (from). i can't change it. whats up?"
scott-s/_sent_mail/244.,"message-id: date: wed, 10 may 2000 11:22:00 -0700 (pdt) re: wt-1 electric service agreement cc: mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit bcc: x- re: wt-1 electric service agreement looks like you nailed the least cost billing provision pretty good. just need to abrogate our remaining term and make all agreements evergreen. wt-1 electric service agreement p.s. -- dave, on your wish list you had included an evergreen provision. see section 2 of the original contract, which gives tw the right to extend for another five-year term by giving notice to sps. if tw does not give such notice, sps may cancel the contract, and if it doesn't, the contract automatically rolls over for another year. if this is not acceptable please let me know. ---------------------- forwarded by susan scott/et&s/enron on 05/10/2000 05:40 pm --------------------------- wt-1 electric service agreement rich and dave, attached are my suggested revisions to mike mcleod's draft of an amendment to the original electric service agreement. dave, i'll bring you a copy of that agreement. rich, if mike did not send you one, let me know and i will fax it to you. in my revisions, i've attempted to reflect the least cost billing you described to me, using terminology i read in the tariff. please let me know if it looks alright to you. i'm available to discuss this whenever you are, then i will make sending this to mike top priority. my sincerest apologies for the delay; there has been more chaos around here than i am accustomed to handling, and i appreciate your patience. susan x30596"
love-p/discussion_threads/113.,"message-id: date: wed, 7 jun 2000 11:30:00 -0700 (pdt) 0003-0001 oas as of 4/2000 gl mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x- 0003-0001 oas as of 4/2000 gl"
taylor-m/australia_trading/8.,"message-id: date: thu, 13 apr 2000 02:42:00 -0700 (pdt) leona tan mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: cynthia harkness x-to: mark taylor x-cc: x-bcc: x-folder: \mark_taylor_jun2001\notes folders\australia trading x-origin: taylor-m x-filename: mtaylor.nsf dear mark, as per our discussion at the law conference and my voice mail to you earlier this week, attached is leona tan's resume. please let me know if i can assist you further in this regard. all the best! cynthia"
love-p/sent_items/765.,"message-id: date: fri, 9 nov 2001 13:36:17 -0800 (pst) re: hello mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x- re: hello hey philip! what's up? i have mixed feeling about you going to nd...i', jealous! this year is out for me unfortunately. i have some friends that have gone to games this year...i'll get the skinny on scalping. it shouldn't be much of a prop. however, despite there records, it's still nd and tennesse. it will be sold out. but you can get tix. i know this much. you can't (or it's against school policy to )get tix on campus. however, there are plenty of scalper on roads leading to campus. sites to see. definietly check out the campus. make time to see the lakes, go by the dome etc. it's awesome. also, it may be one of the games of the week...so, look out for espn, nbc and all the rest. the hype is great when networks other than nbc show. lots of small bars...avoid the linebacker, unless you want to test that you have the endurance you had in undergrad. college football hall of fame is there...downtown. tailgating is great....like i said make sure you get to the game early. that way you'll get the whole experience. lots of tradition game day, for example the band marches from the dome to the stadium....it's awesome. i'll give you a call at work.. later, steve --- ""love, phillip m."" wrote: > how are things going? are you still in san > francisco? if so i bet the > city has been going crazy about barry bonds and you > have been catching > flack about the wimpy astros and how they pitched > him. > > some guys and i make a trip every year to a > different college football > game and we changed it at the last minute this year. > we are now going > to go to the notre dame v. tennessee game. i was > going to hit you up > for some information on your old stomping grounds. > were and when is the > best place to scalp some tickets. the brokers in > chicago think way to > highly of a couple of teams with two or more losses. > where should we > hang out/ tailgate? and what sites should we see > besides touchdown > jesus? > > hope things are going well and give me a call when > you head back this > way. thanks. > pl > > > > ********************************************************************** > this e-mail is the property of enron corp. and/or > its relevant affiliate and may contain confidential > and privileged material for the sole use of the > intended recipient (s). any review, use, > distribution or disclosure by others is strictly > prohibited. if you are not the intended recipient > (or authorized to receive for the recipient), please > contact the sender or reply to enron corp. at > and delete > all copies of the message. this e-mail (and any > attachments hereto) are not intended to be an offer > (or an acceptance) and do not create or evidence a > binding and enforceable contract between enron corp. > (or any of its affiliates) and the intended > recipient or any other party, and may not be relied > on by anyone as the basis of a contract by estoppel > or otherwise. thank you. > ********************************************************************** __________________________________________________ do you yahoo!? make a great connection at yahoo! personals."
giron-d/deleted_items/170.,"message-id: date: mon, 15 oct 2001 15:11:42 -0700 (pdt) your buy.com order is on its way mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: x-to: x-cc: x-bcc: x-folder: \dgiron (non-privileged)\giron, darron c.\deleted items x-origin: giron-d x-filename: dgiron (non-privileged).pst hello darron, just wanted to let you know that the following items from your order #11695228 have shipped and are on the way to your door: item sku 40157515 qty :1 star wars 1-ph(s)dvd *this item shipped on 10/12/2001 if you have any questions regarding this or any other order, please feel free to contact us at any time by visiting customer support at we built buy.com with one thing in mind - enabling you and all our customers to buy products better - that means offering you top brands, superstore selection, low prices, and outstanding service. once again, thank you for your order. we look forward to earning your business as we set out to be the ""best place to buy on the internet."" sincerely, krista smith director, customer support * please use the link below for your customer support questions. please do not reply to the buy.com email address. for anytime help click: www.us.buy.com/corp/support. ***************************************************************** -if there are other items in your order that have not yet shipped, we will send you a confirmation email as soon as they do. -do not be concerned if items in your order arrive in separate packages. for quicker delivery, we ship from multiple warehouses throughout the country. -you can track your order online at or get instructions about how to track directly from your mobile device at ****************************************************************** please enjoy these offers from our partners: ****************************************************************** * dvd essentials! breathe some life into your dvd collection with must-have dvds from mgm including hits like when harry met sally, rain man, the usual suspects and more!"
